Time,acc,acceleration,access,lat,long,id,status,r_status
00:01:17.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:18.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:19.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:21.000,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:21.992,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:22.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:23.995,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:24.995,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:25.997,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:26.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:27.998,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:28.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:29.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:30.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:31.995,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:32.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:33.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:34.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:35.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:36.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:37.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:39.001,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:39.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:40.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:41.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:42.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:43.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:45.002,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:45.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:46.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:47.995,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:48.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:49.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:51.001,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:51.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:52.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:53.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:54.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:55.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:57.002,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:57.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:58.992,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:01:59.992,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:00.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:01.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:03.003,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:03.995,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:04.995,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:05.995,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:06.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:07.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:09.003,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:09.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:10.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:11.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:12.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:13.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:15.000,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:15.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:16.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:17.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:18.995,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:19.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:20.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:21.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:22.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:23.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:24.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:26.000,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:26.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:27.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:28.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:29.995,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:30.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:32.001,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:32.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:33.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:34.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:35.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:36.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:38.001,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:38.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:39.994,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:40.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:41.993,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:42.995,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
00:02:44.001,1.53,0.07,2.66,0,0,C2,RACING,RACE_STARTED
