Time,Speed,Acceleration,Distance,Latitude,Longitude,Camel ID,Racing Status,r_status
00:00:00.011,4.04,1.13,1.02,25.1479207,56.3438335,C1,RACING,OFF
00:00:01.000,6.54,0.7,1.74,25.1479124,56.3438377,C1,RACING,OFF
00:00:02.001,4.3,-0.62,2.7,25.1478975,56.3438429,C1,RACING,OFF
00:00:03.001,1.78,-0.7,3.05,25.1478889,56.3438436,C1,RACING,OFF
00:00:04.003,4.67,0.8,4.75,25.1478919,56.3438449,C1,RACING,OFF
00:00:05.003,3.81,-0.24,5.12,25.1478939,56.3438282,C1,RACING,OFF
00:00:06.004,3.71,-0.03,5.64,25.1478941,56.3438245,C1,RACING,OFF
00:00:07.003,3.05,-0.18,6.82,25.1478987,56.3438255,C1,RACING,OFF
00:00:08.001,4.55,0.42,11.09,25.1478885,56.3438224,C1,RACING,OFF
00:00:09.001,7.35,0.78,17.61,25.147851,56.3438131,C1,RACING,OFF
00:00:10.001,7.99,0.18,23.18,25.1477933,56.3438243,C1,RACING,OFF
00:00:11.012,6.08,-0.53,24.86,25.1477435,56.3438307,C1,RACING,OFF
00:00:12.001,5.92,-0.04,29.66,25.1477558,56.343821,C1,RACING,OFF
00:00:13.002,4,-0.53,33.27,25.1477304,56.3438595,C1,RACING,OFF
00:00:14.003,2.54,-0.41,36.29,25.1476998,56.3438716,C1,RACING,OFF
00:00:15.003,1.8,-0.2,37.28,25.1476732,56.3438773,C1,RACING,OFF
00:00:16.001,1.8,-0.2,37.28,25.1476675,56.3438849,C1,RACING,OFF
00:00:17.000,1.8,-0.2,37.28,25.1476954,56.3438897,C1,RACING,OFF
00:00:18.001,2.51,0.7,38.5,25.1477097,56.3438849,C1,RACING,OFF
00:00:19.002,1.12,-0.39,40.36,25.1477073,56.3438731,C1,RACING,OFF
00:00:20.001,1.83,0.2,40.99,25.147724,56.3438749,C1,RACING,OFF
00:00:21.002,1.68,-0.04,41.76,25.1477293,56.3438729,C1,RACING,OFF
00:00:22.011,1.19,-0.14,43.39,25.1477326,56.3438661,C1,RACING,OFF
00:00:23.001,1.3,0.03,44.85,25.1477472,56.3438654,C1,RACING,OFF
00:00:24.004,1.71,0.11,46.66,25.1477603,56.3438663,C1,RACING,OFF
00:00:25.005,1.94,0.06,49.39,25.1477762,56.3438704,C1,RACING,OFF
00:00:25.998,1.94,0.06,49.39,25.1477998,56.3438779,C1,RACING,OFF
00:00:26.998,1.94,0.06,49.39,25.1478042,56.3438738,C1,RACING,OFF
